ident,type,latitude_deg,longitude_deg,elevation_ft
GTH,VORTAC,33.77830124,-100.3359985,1940
GUP,VORTAC,35.47600174,-108.8730011,7053
GUS,VORTAC,40.64490128,-86.15170288,810
GVE,VORTAC,38.0135994,-78.1529007,380
GVO,VORTAC,34.53129959,-120.0910034,2620
GXU,VORTAC,40.0094986,-74.59629822,114
GZG,VOR-DME,36.82509995,-82.07900238,4200
HAB,VORTAC,34.19509888,-88.01249695,810
HAR,VORTAC,40.30220032,-77.06960297,1301
HBR,VORTAC,34.86660004,-99.06340027,1463
HBT,NDB-DME,55.31560135,-160.5180054,132
HBU,VOR-DME,38.45220184,-107.0400009,8730
HCH,VORTAC,35.78099823,-84.97850037,3040
HCM,VORTAC,37.44869995,-76.71140289,10
HCT,VORTAC,40.45410156,-100.9240036,3010
HDF,VOR,33.77629852,-117.1849976,1414
HDO,VOR-DME,29.34910011,-99.17790222,947
HEC,VORTAC,34.79700089,-116.4629974,1850
HEY,VOR,31.37409973,-85.65280151,300
HEZ,VOR-DME,31.6182003,-91.29959869,280
HFD,VOR-DME,41.64110184,-72.54740143,849
HGO,VORTAC,38.81750107,-103.6210022,5233
HGR,VOR,39.6977005,-77.85569763,560
HIA,VORTAC,45.86180115,-112.1699982,5530
HIB,VOR-DME,47.30149841,-92.70410156,1350
HIC,VOR-DME,43.57490158,-85.71620178,920
HIF,TACAN,41.12049866,-111.9639969,4806
HLC,VORTAC,39.25870132,-100.2259979,2690
HLE,NDB-DME,43.32910156,-114.2429962,4950
HLG,VOR-DME,40.25989914,-80.56860352,1269
HLI,VORTAC,34.77030182,-89.49649811,630
HLN,VORTAC,46.60680008,-111.9530029,3823
HLV,VORTAC,39.11349869,-92.12819672,920
HML,VORTAC,48.86920166,-97.11789703,800
HMN,TACAN,32.86209869,-106.1090012,4120
HMU,VOR,30.51939964,-90.41750336,40
HMV,VORTAC,36.43709946,-82.12960052,4321
HNB,VOR-DME,38.25030136,-86.95639801,530
HNK,VOR-DME,42.06309891,-75.31629944,2070
HNL,VORTAC,21.30830002,-157.9299927,10
HNN,VORTAC,38.7541008,-82.02619934,880
HNW,VOR-DME,38.72470093,-120.7490005,2583
HOB,VORTAC,32.63819885,-103.2689972,3660
HOM,VOR-DME,59.70940018,-151.4570007,1621
HON,VORTAC,44.44010162,-98.31109619,1300
HOT,VOR-DME,34.47859955,-93.09059906,530
HPB,VOR-DME,61.51440048,-166.1340027,7
HPW,VORTAC,37.32889938,-77.11589813,70
HQM,VORTAC,46.9469986,-124.1490021,10
HRK,VOR-DME,42.76190186,-87.81439972,669
HRL,VOR-DME,26.22920036,-97.65190125,30
HRO,VOR-DME,36.31829834,-93.21330261,1400
HRS,VORTAC,34.94300079,-83.91570282,3660
HRT,TACAN,30.4279995,-86.69029999,35
HRV,VORTAC,29.85020065,-90.00299835,3
HSI,VOR-DME,40.60449982,-98.42960358,1950
HSL,VOR-DME,65.707901,-156.3630066,187
HST,TACAN,25.48950005,-80.37940216,53
HTL,VOR-DME,44.35889816,-84.66570282,1145
HTO,VORTAC,40.91899872,-72.3167038,30
HUB,VOR-DME,29.65559959,-95.2766037,82
HUH,VORTAC,48.94530106,-122.5790024,84
HUL,VOR-DME,46.03950119,-67.834198,860
HUO,VOR-DME,41.40969849,-74.59159851,1300
HUP,VORTAC,31.56870079,-105.3759995,4390
HUT,VOR-DME,37.99689865,-97.93419647,1531
HUW,VOR-DME,36.87139893,-91.90000153,1220
HVE,VORTAC,38.41680145,-110.6999969,4430
HVN,VOR-DME,41.26229858,-72.8852005,13
HVQ,VORTAC,38.34970093,-81.76989746,1100
HVR,VOR-DME,48.54050064,-109.7699966,2580
HXW,TACAN,36.67639923,-87.49189758,572
HYK,VORTAC,37.96640015,-84.47250366,1039
HYP,VOR-DME,37.2193985,-120.4000015,182
HYR,VOR-DME,46.01900101,-91.4464035,1207
HYS,VORTAC,38.84759903,-99.27680206,2020
HZL,VOR,40.97510147,-76.12580109,1709
HZN,VORTAC,39.51639938,-118.9980011,4080
IAB,TACAN,37.62189865,-97.26820374,1374
