BOS,BOS BLZZR3 BLZZR BAF Q448 PTW J48 CSN FANPO Q40 AEX DOOBI2 IAH,IAH,1100-0300,,,H,,,TURBOJETS,IAH WEST FLOW,2,ZBW,ZHU
BOS,BOS SSOXS4 SSOXS BUZRD SEY PARCH1 JFK,JFK,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZNY
BOS,BOS SSOXS LUCOS SEY067 SEY PARCH CCC ROBER JFK,JFK,1100-0300,,,L,,110-170,JETS,,1,ZBW,ZNY
BOS,BOS SSOXS LUCOS SEY067 SEY HTO V46 DPK JFK,JFK,,,,L,,110-170,PROPS,,2,ZBW,ZNY
BOS,BOS BOSOX V1 V14 ORW V16 CCC V46 DPK JFK,JFK,,,,L,,AOB 100,,,3,ZBW,ZNY
BOS,BOS BOSOX V1 DPK JFK,JFK,,,,TEC,,HIGHEST ALTITUDE 10000,,,1,ZBW,ZNY
BOS,BOS V268 HTO V46 DPK JFK,JFK,,,,TEC,BOS/OWD/1B9/3B9,10000`,,,2,ZBW,ZNY
BOS,BOS HYLND4 HYLND CAM Q822 GONZZ Q29 KLYNE FYLLS J110 RSK J64 PGS TYSSN3 LAS,LAS,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZLA
BOS,BOS HYLND4 HYLND HANAA Q816 HOCKE GRB ODI FSD J114 DVV J60 HEC RIIVR2 LAX,LAX,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,2,ZBW,ZLA
BOS,BOS PATSS4 PATSS NELIE VALRE HAARP3 LGA,LGA,1100-0300,,,H,,FL180 - FL220,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZNY
BOS,BOS PATSS4 PATSS NELIE VALRE HAARP3 LGA,LGA,1100-0300,,,L,,110-170,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZNY
BOS,BOS REVSS BAF PWL V405 CASSH V123 HAARP LGA,LGA,1100-0300,,,L,,110-170,PROPS & TURBOPROPS OPERATING AT LESS THAN 250K IAS,,2,ZBW,ZNY
BOS,BOS PATSS NELIE VALRE HAARP3 LGA,LGA,1100-0300,,,L,,110-170,RNAV ONLY: TURBOJETS & TURBOPROPS AOA 250K IAS,,3,ZBW,ZNY
BOS,BOS BOSOX V1 MAD V475 LGA,LGA,,,,TEC,(3),10000`,PROPS LESS THAN 250 KTS IAS,,1,ZBW,ZNY
BOS,BOS SSOXS4 SSOXS BUZRD SEY HTO J174 ORF J121 CHS J79 OMN CWRLD4 MCO,MCO,1100-0400,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZJX
BOS,BOS SSOXS4 SSOXS BUZRD SEY HTO J174 SWL KEMPR ILM AR15 HIBAC CWRLD4 MCO,MCO,1100-0400,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,WATER,4,ZBW,ZJX
BOS,BOS HYLND4 HYLND CAM Q822 GONZZ Q29 JHW DJB J60 ASHEN BAGEL PANGG3 MDW,MDW,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZAU
BOS,BOS BLZZR3 BLZZR BAF Q406 BWZ J6 BWG BLUZZ1 MEM,MEM,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZME
BOS,BOS SSOXS4 SSOXS BUZRD SEY HTO J174 ORF J121 CHS J79 OMN HILEY6 MIA,MIA,1100-0300,,,H,MIAMI METRO AREA,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZMA
BOS,BOS SSOXS4 SSOXS BUZRD SEY HTO J174 SWL CEBEE WETRO DIW AR22 JORAY HILEY6 MIA,MIA,1100-0300,,,H,MIAMI METRO AREA,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,WATER,3,ZBW,ZMA
BOS,BOS HYLND4 HYLND HANAA Q816 KELTI Q812 ZOHAN GRB EAU9 MSP,MSP,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZMP
BOS,BOS HYLND4 HYLND CAM Q822 FNT WYNDE7 ORD,ORD,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,2,ZBW,ZAU
BOS,BOS HYLND4 HYLND HANAA Q816 HOCKE GRB GEP DPR J16 PDT JKNOX HHOOD3 PDX,PDX,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZSE
BOS,BOS SSOXS4 SSOXS BUZRD SEY J121 BRIGS JIIMS2 PHL,PHL,1100-0300,,,H,,,TURBOJETS ONLY: DME/DME/IRU OR GPS REQUIRED,,1,ZBW,ZNY
BOS,BOS SSOXS LUCOS SEY V268 HTO V308 DRIFT V312 CYN PHL,PHL,1100-0300,,,L,,80-170 INCL,,,1,ZBW,ZNY
BOS,BOS BLZZR BAF V292 MOBBS SAGES LAAYK LVZ V613 FJC PTW PHL,PHL,1100-0300,,,L,,110-170,GPS OR DME/DME OR IRU EQUIPPED,,5,ZBW,ZNY
BOS,BOS BOSOX V1 GRAYM V14 ORW V16 VCN OOD PHL,PHL,,,,TEC,NO SATS,HIGHEST ALTITUDE 10000,,,1,ZBW,ZNY
