ATLMCOPC,KATL,KMCO,POUNC,KATL POUNC1 POUNC GRGIA MGM RRS OTK PIGLT4 KMCO,ZTL,ZJX,ZJX ZMA ZTL,Y,,2
ATLMCORP,KATL,KMCO,WALET,KATL SMLTZ1 WALET OTK PIGLT4 KMCO,ZTL,ZJX,ZJX ZMA ZTL,N,,2
ATLMDW9E,KATL,KMDW,EAONE,KATL EAONE SPA HMV FLM J43 ROD J149 FWA GSH6 KMDW,ZTL,ZAU,ZAU ZID ZTL,N,,1
ATLMDW9W,KATL,KMDW,WETWO,KATL WETWO VUZ J151 FAM SPI MOTIF4 KMDW,ZTL,ZAU,ZAU ZKC ZME ZTL,N,,1
ATLMDWAP,KATL,KMDW,NOONE,KATL NOONE J89 IIU OKK FISSK4 KMDW,ZTL,ZAU,ZAU ZID ZTL,N,,1
ATLMDWNA,KATL,KMDW,CHOOK,KATL NASSA1 CHOOK FAM SPI PHEEB ENDEE4 KMDW,ZTL,ZAU,ZAU ZKC ZME ZTL,Y,,2
ATLMDWPL,KATL,KMDW,SPA,KATL PLMMR1 SPA HMV FLM J24 VHP OKK FISSK4 KMDW,ZTL,ZAU,ZAU ZID ZTL,Y,,2
ATLMDWRP,KATL,KMDW,RESPE,KATL VARNM1 RESPE IIU OKK FISSK4 KMDW,ZTL,ZAU,ZAU ZID ZTL,N,,2
ATLMEM7N,KATL,KMEM,NOONE,KATL NOONE GQO BNA WLDER8 KMEM,ZTL,ZME,ZME ZTL,N,,1
ATLMEM8S,KATL,KMEM,SOTWO,KATL SOTWO CSG CSG220030 MGM SQS UJM5 KMEM,ZTL,ZME,ZME ZTL,N,,1
ATLMEMAP,KATL,KMEM,WETWO,KATL WETWO VUZ LUGOH2 KMEM,ZTL,ZME,ZME ZTL,N,,1
ATLMEMHA,KATL,KMEM,SARGE,KATL HAALO1 SARGE EUF ARNNY MEVEE HOBRK1 KMEM,ZTL,ZME,ZME ZTL,Y,,2
ATLMEMPE,KATL,KMEM,JAACE,KATL PENCL1 JAACE BNA BLUZZ1 KMEM,ZTL,ZME,ZME ZTL,Y,,2
